"CROSSTAB TITLE : MRI-Simmons_Crosstab"
"STUDY NAME : Fall 2020 NHCS Adult Study 12-month"
"WEIGHT TYPE : Population (000)"
"START FIELD DATE : 11/04/2019"
"END FIELD DATE : 11/30/2020"
"DATE EXECUTED : 04/02/2023"
"SELECTED BASE : STUDY UNIVERSE"
,,"Total",,"MEAT ALTERNATIVES - HH USES?_YES",,"MEAT ALTERNATIVES - HH USES?_NO",
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_45 - 54)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Weighted(000)",571,,90,**,482,
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_45 - 54)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Vertical %",0.2%,,0.1%,**,0.3%,
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_45 - 54)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Horizontal %",100%,,15.8%,**,84.4%,
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_45 - 54)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Index",100,,57,**,119,
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_45 - 54)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Sample",16,**,6,**,10,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_45 - 54)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Weighted(000)",150,**,21,**,129,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_45 - 54)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Vertical %",0.1%,**,0%,**,0.1%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_45 - 54)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Horizontal %",100%,**,14%,**,86%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_45 - 54)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Index",100,**,51,**,121,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_45 - 54)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Sample",21,**,7,**,14,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_45 - 54)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Weighted(000)",224,**,89,**,135,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_45 - 54)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Vertical %",0.1%,**,0.1%,**,0.1%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_45 - 54)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Horizontal %",100%,**,39.7%,**,60.3%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_45 - 54)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Index",100,**,143,**,85,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_45 - 54)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Sample",3,**,2,**,1,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_45 - 54)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Weighted(000)",9,**,8,**,1,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_45 - 54)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Vertical %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_45 - 54)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Horizontal %",100%,**,88.9%,**,11.1%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_45 - 54)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Index",100,**,321,**,16,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_45 - 54)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Sample",23,**,6,**,17,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_45 - 54)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Weighted(000)",67,**,24,**,43,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_45 - 54)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Vertical %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_45 - 54)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Horizontal %",100%,**,35.8%,**,64.2%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_45 - 54)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Index",100,**,129,**,90,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Sample",96,,22,**,74,
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Weighted(000)",580,,139,**,440,
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Vertical %",0.2%,,0.2%,**,0.2%,
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Horizontal %",100%,,24%,**,75.9%,
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Index",100,,87,**,107,
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Sample",16,**,4,**,11,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Weighted(000)",69,**,20,**,48,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Vertical %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Horizontal %",100%,**,29%,**,69.6%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Index",100,**,105,**,98,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Sample",9,**,2,**,6,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Weighted(000)",56,**,2,**,53,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Vertical %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Horizontal %",100%,**,3.6%,**,94.6%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Index",100,**,13,**,133,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Sample",2,**,1,**,1,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Weighted(000)",5,**,2,**,2,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Vertical %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Horizontal %",100%,**,40%,**,40%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Index",100,**,144,**,56,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Sample",18,**,1,**,17,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Weighted(000)",84,**,7,**,78,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Vertical %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Horizontal %",100%,**,8.3%,**,92.9%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Index",100,**,30,**,131,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Sample",96,,22,**,74,
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Weighted(000)",580,,139,**,440,
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Vertical %",0.2%,,0.2%,**,0.2%,
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Horizontal %",100%,,24%,**,75.9%,
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Index",100,,87,**,107,
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Sample",16,**,4,**,11,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Weighted(000)",69,**,20,**,48,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Vertical %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Horizontal %",100%,**,29%,**,69.6%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Index",100,**,105,**,98,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Sample",9,**,2,**,6,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Weighted(000)",56,**,2,**,53,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Vertical %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Horizontal %",100%,**,3.6%,**,94.6%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Index",100,**,13,**,133,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Sample",2,**,1,**,1,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Weighted(000)",5,**,2,**,2,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Vertical %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Horizontal %",100%,**,40%,**,40%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Index",100,**,144,**,56,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Sample",18,**,1,**,17,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Weighted(000)",84,**,7,**,78,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Vertical %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Horizontal %",100%,**,8.3%,**,92.9%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Index",100,**,30,**,131,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Sample",32,*,6,**,26,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Weighted(000)",157,*,19,**,139,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Vertical %",0.1%,*,0%,**,0.1%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Horizontal %",100%,*,12.1%,**,88.5%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Index",100,*,44,**,124,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Sample",2,**,0,**,2,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Weighted(000)",5,**,0,**,5,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Vertical %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Horizontal %",100%,**,0%,**,100%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Index",100,**,0,**,141,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Sample",2,**,1,**,1,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Weighted(000)",1,**,0,**,0,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Vertical %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Horizontal %",100%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Index",100,**,0,**,0,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Sample",0,**,0,**,0,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Weighted(000)",0,**,0,**,0,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Vertical %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Horizontal %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Index",0,**,0,**,0,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Sample",4,**,1,**,3,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Weighted(000)",22,**,0,**,22,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Vertical %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$100,000 - $149,999)  AND  (GENDER_FEMALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Horizontal %",100%,**,0%,**,100%,**
