Company,Brief Description,Protein Category,Company Focus,Technology Focus,Product Type,Animal-Type Analog,Ingredient Type,Operating Regions,Country/Region,State,City,Website,Year Founded,Founders,Logo
Alchemeat,US-based company producing whole cuts of plant-based meat.,Plant-based,Meat,End product formulation and manufacturing,Whole muscle meat,Beef/veal,,U.S. and Canada,United States,Illinois,Naperville,https://alchemeatus.com/,2022,,Screenshot 2022-10-05 10.49.00 AM.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/5vfDkKt4Meu76OzOfbsDrQ/Q1L8zpWB9FlsOFZ1ykzxznDm6ADQgN9FAMsTwAmGVNwIMGrgxyqW6Yw-_6MkC1b9Q5PW2hAa95Gh8kFRqf5HDLxmwZjM8U0_GFWa0ZS2r8BQ_-OPUy3b6nuIvYo-N5LY/p4imFd0T8ygzFMR5RnK-a7CWRJg6xKgVAv45MJmvn-4)
Kabocha,New Zealand-based company creating plant-based milk,Plant-based,Dairy,End product formulation and manufacturing,Milk,,Other,Asia Pacific,New Zealand,,Whakatu,https://www.kabochamilk.com/restofworld,2020,,Screenshot 2022-10-05 2.07.41 PM.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/zqaitLkffn7uIKgnvoFQSw/fBb8uSZvr3-a_xYGpKZ3rd-KdQ8ZdPCzY1tHqZ6MBCYo9IOILG09G8lAi60tEpFDfcYeV3G_ptUbtC7JN7KrHdx8xSK8A4hx-_Fhdntqy-mGPNmN0nvPsnVC8n0r9hNi/D2tkNq-gqsPEiJ_tdYi5qdNHgM_PnR0OoQZoDsh5Rjg)
TissenBioFarm,South Korea-based company producing cultivated meat.,Cultivated,Meat,End product formulation and manufacturing,Other meat,,,Asia Pacific,South Korea,,,http://www.tissenbiofarm.com/en/index.jsp,2021,,Screenshot 2022-10-06 10.43.39 AM.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/N0GqJil6C6hvZg2mj2hLjA/QRQmfIi36-N-f6GK1iojp2JcJlPpNdqRuIQWo-pNCHgUnWtBsLwRZ4BwV33vYnhKPPiYi08cm59AXqNSn4kLvlIFIFWG3_ZTrOqpOgSq5k0o8p1DteOWDFGbfDHiqMwX/pp5UxLjgrDrNoMihIezvmm5V_qQTaSI1uEX6K3lPCCs)
Atlantic Fish Co,US-based company creating cultivated seafood.,Cultivated,Seafood,End product formulation and manufacturing,Seafood,,,U.S. and Canada,United States,North Carolina,Durham,atlanticfish.co ,2022,,Screenshot 2022-10-09 6.49.44 PM.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/pEw7vcDSRprjA9D8Blz0jg/Gyiuv_0-ub5gwQMji1ZZZsq-w8JXnVZ1GvrwG63dT9NzQhXJ0UjgZaSLmMntoApSpNkiW7qzSy6LyLJiqaK599vOjiENNOQqVaWT0Gfi1-QD_shYDCuTQs62CCchC-Rr/IVdszKrqFT8F4aSrG8tvzOCZCNhMwmsH9z66vyJ9cAE)
EatMyPlants,Germany-based company creating seafood with microalgae.,Biomass fermentation,Seafood,End product formulation and manufacturing,Seafood,,Algae,Europe,Germany,,Berlin,https://www.linkedin.com/company/eatmyplants/about/,2021,,Screenshot 2022-10-09 6.57.09 PM.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/tchWm_f3I1SHDsw8-Lc5Kw/RpmbBdJZhaAPsWUMbXrsqbFb7E8Qz_Qpw---M0B5X2fjNSzmi4pTomfjqo29wrn8PTplM3PN9Mmq0JShIZyDqCDs18oxvy96FNwyNvqbEOhCX-wKY79iBRvpHP-cUwN2/fzbpVFGroRQIC7lcetfdyZyNEHrKdkR4GuulEAJe2ac)
Sunfly,Estonia-based company creating plant-based dairy products from sunflower seeds.,Plant-based,Dairy,End product formulation and manufacturing,"Milk,Other dairy",,Sunflower,Europe,Estonia,,Tallinn,https://www.linkedin.com/company/sunfly-plant-based-company/about/,2022,,Screenshot 2022-10-09 7.02.40 PM.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/5NBvNVsrDnehLkTWe3tyMA/upOtyieADbLsgXi_B8DAU3A4ZRRz3LaNVak3shGxQxkNtp1RDswBuPzZtlXezHTKjwNDkVkqUjrxviPynpJ3cQVfWmcuZTe3k9wnNT6x_XcBHxQlvw7KEx-c_DBKUHpM/TuPHgq2kpV_4q-Jqh9mle1uNHNtHNEHN9blA7jAo7CU)
ULTIMEAT (M) SDN BHD,"We are a Precision Bio Tech Fermentation company focused on developing organoleptically nutritious products for our customers
","Fermentation-derived,Precision fermentation",Meat,Bioprocess design,"Whole muscle meat,Ground meat,Other meat","Beef/veal,Chicken,Pork,Mutton/lamb",,Asia Pacific,Malaysia,,NEAR KUALA LUMPUR,ULTIMEAT (M) SDN BHD,2005,FAMILY OF EDWIN LEE,LOGO.jpeg (https://v5.airtableusercontent.com/v1/14/14/1674252000000/frD5Nh3IPlFpejnJAgUdDw/Nq79x67lo7K0pCrjvd-XpciaSn2Y_2nyxY8fQiNVGtMY13jid9L-qSKhY0UbVocMkhwZRJVMeW6Rz7Swk53tvizfU5Q8kW3SbmDEplEv3aA/7-vGaI2jUTaptEsF9VdkIIgNm0oltS4q1nyMNdf8KJ4)
Up Dairy,Brazilian-based company producing dairy ingredients through precision fermentation.,Precision fermentation,"Ingredients and inputs,Dairy","Cell line development,Host strain development,Target molecule selection,Bioprocess design,Ingredient optimization",Ingredients,,"Casein,Whey",Latin America,Brazil,São Paulo,São Paulo,https://www.linkedin.com/company/updairy/,2022,"Harsh Sethia, Mirelle Dogenski, Thabata Alvarez",Up Dairy Logo.jpeg (https://v5.airtableusercontent.com/v1/14/14/1674252000000/ViwR4UIiruh9nfItuB7JBw/s_rzadRVmwogPzEjI-s7SD-3gkNviOsgtGixwkryl4WMJVRDLl9iehCrfZatzdBhw8aqKxEtpfnUlZOKreDEbiDvcMu6l_MPCfhwAOgF9zs/5ZVR6up__Y-yAMRQzlGj3fyZJDQ5i0lfQwb0pgOgFo4)
Fabumin,Israel-based company developing plant-based egg white substitute using Aquafaba. ,Plant-based,"Eggs,Ingredients and inputs",Ingredient optimization,"Ingredients,Eggs",,Other,Africa/Middle East,Israel,,Tel Aviv,https://www.fabumin.com/,2019,"Adi Lengel, Adi Yehezkeli",Screenshot 2022-10-12 12.31.00 PM.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/LrTWGuHO3U5nsOJXoMBNxw/5suB8y-veNXXb4zTdPJASK3yuJYf5-bgc9TQfy6L2J5pHlv-skxwLN2caP_c6m4mjE95yHeKZCE1BQo16jzpXUrDmif7X8DrhrV44I1dm52Lcuvsqosqg1vFCyKXBlmn/kWoDa0DR0hVyYME_8K1JDFvU2OGA8YjWD-X5M5tByoU)
Sain,India-based company making plant-based milks,Plant-based,Dairy,End product formulation and manufacturing,Milk,,Almond,Asia Pacific,India ,,,https://www.sainworld.com/,2017,Sheena Jain & Tarun Jain,Screenshot 2022-10-12 3.44.44 PM.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/gApoTDqPNcbX9NJVsRZ4-g/P3ws8QYu45Kkvo-5EjRrq4vxTmrkBzwug51APywPeSiIxFzAe1Tbq4DXpYUVnjdFHhHXlFGPKo7yz0hKB1Ke3QEIe51Iq-i6LcI-xGIlE2HesawpBE13hlENSEhmCJ6z/tMOtl4TBYWOkMYru_6EbD1Mk7--R5t6c2MHR8W5ebW4)
Simple planet,The South Korea-based company that produces cell-based meat and fat products,Cultivated,"Meat,Seafood","Cell line development,Cell culture media","Whole muscle meat,Ground meat,Other meat,Pet food,Oils and fats,Infant nutrition,Seafood","Chicken,Beef/veal,Pork,Duck,Fish,Tuna,Crab",,Asia Pacific,South Korea,,Seoul,http://www.simpleplanet.io,2021,Ildoo Jeong,심플플래닛 로고.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/budkyTyYI7N9UPejw1WK2g/poZTZBorJwYxUkikQ2gxqDl5aRfjoJ6nQL8vLEiqBvi03UZ61_12U9UcvVbppIujlUd1Kq15yuYxbf9emRibQg/k8tqY6N1kOoPSuEm3FEi2XEw-94gyctYWKrGr77NAtw)
VeggieVictory,Nigeria-based company creating plant-based meat.,Plant-based,Meat,End product formulation and manufacturing,Other meat,,,Africa/Middle East,Nigeria,,,https://veggievictory.com/,2013,,Screenshot 2022-10-16 2.56.27 PM.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/BKMZ1LdfyppOf3SXOH7I-w/4jwqERBJrvWWQ5Z5_-6OUWN54QPgQFQ3TV4d7jtvGcYX4ZhvQPfkJp4Z8p-z6KO1ksFUSf9K9wY_NWQXjGGGla9TBLMn2pTD4tvCqc3CEfCkHKiJOEAtCsxy06Jgd53r/UMQTh9kcWZwS5I5wsh4Ub3WYA2k5cxsTs7w7HMI3cgc)
Shocken,"UK-based company owned and operated by Michelin star chefs creating a variety of vegan charcuterie, brie cheese, spicy n’duja spread and foie gras pate (faux gras).",Plant-based,"Meat,Dairy",End product formulation and manufacturing,"Other meat,Cheese","Beef/veal,Pork,Turkey","Cashew,Yeast,Pumpkin,Hemp,Wheat,Chickpea,Soy,Beetroot ,Seeds",Europe,United Kingdom,,London,https://shockenfoods.com/,,,Screenshot 2022-10-16 3.20.29 PM.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/zoRzZ6on7XVnqmsh0yeRGg/AJfHhKSMEORBUbt6uxt4tQflM182B77GP4bV-bIF6rnmtbPcEYj0q6N9UZj_-GsqBYFxrfHCFZOmcUqv6-W6_WdXI1NWC5vYjKdRuF7nYmIl4LM4NpUv_uDqb0KCYANV/g6_azB25VteNh526Unvz_roO1GKb4WZMZC_fxIgaVOs)
Food Squared (Foodsquared),UK-based company creating whole-cut plant-based seafood.,Plant-based,Seafood,End product formulation and manufacturing,Seafood,,,Europe,United Kingdom,,Cambridge,https://www.foodsquared.earth/,2021,"Frankie Fox, Wesley Yland",Screenshot 2022-10-16 3.28.43 PM.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/leAoX9yUWIPlj57meuI59A/43OM6s6CgbxhzTlr4gvLw7AzRUJ00CoP1Svn9JlJXphTAN3x5ONlMXz7z-zHsTkEtBnidqKbLbJyh8ouLrq1XAKw_yiscPP0ebXZImMyvr7zOuIduIlEqLmjIPULA-AA/fgNpEA4qDNK0oT-N5Gz7LMRGq6HQ-j12xgN-_RLrxDg)
Changing Biotech,China’s first precision fermentation dairy startup,Precision fermentation,Dairy,,Other dairy,,,Asia Pacific,Mainland China,,,https://www.greenqueen.com.hk/changing-biotech-fermentation-dairy/?ct=t%28OCT+8+2020+INDUSTRY+SCOOP_COPY_01%29,2020,,
Mycel Project,"The Mycell project is a spin-off startup from Hyundai Motor Company, which utilizes the physiological, biochemical and physical characteristics of mold/mushroom bacteria, designs a biological process that considers recovery and circulation through biomimicry, and develops/develops various biomaterials. produce.",Biomass fermentation,Meat,Bioprocess design,Ingredients,,Mycelium,Asia Pacific,South Korea,Kyonggi-do,Gunpo,https://mycelproject.com/about/information.php,2020,,
Verdanya,A Malaysia-based company creating a variety of plant-based products.,Plant-based,"Meat,Dairy,Eggs",End product formulation and manufacturing,"Other meat,Cheese,Eggs",,,Asia Pacific,Malaysia,,,https://www.verdanya.com/,2017,,Screenshot 2022-10-21 9.12.52 AM.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/hL8q6UHlNbs3cIZEhpAZOg/wUFEChOnsPYIgfLO8JO_ZZtjCv3My0wBpE7zF0LqcuUfosgJKeKJ8mqElWuy-1MsRyxHfZpDI3fm_UEJq0s3Sy2d_6Hb8BMui7aRTq71ToRfwp8x6BL3allx2o5Kj8o0/zZDhf8YT4Cc1vx1eQnH4gKjSNycb_tkA70TwUwJES44)
CellCrine Inc.,CellCrine’s core business is the creation of best-in-class Chemically Defined Serum-Free Media and cell lines for the cultivated meat industry. ,Cultivated,Meat,"Cell culture media,Ingredient optimization,Cell line development",Other,"Beef/veal,Chicken,Pork",,U.S. and Canada,United States,TX,San Antonio,CellCrine.com - UNDER CONSTRUCTION,2021,Rodolfo Faudoa,CellCrine.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/_20nIIo-_vhJ7bUB02guvA/xLOSoCobpKArVm9s88nboCweHppnGR3-un_N98ldDRORUuMeQ09zBIc6eFh8l9DB1YUgHB1Q-1EFsYCksRgUVXakFBvhMP6804SmbfMYJqQ/RXwPPOZSzb4RjbxCh-7oEAgYH8yvXRzuenqmSmfg_Nw)
Ajinomoto Singapore Pte Ltd.,"Total Solutions Provider, Include salt, sugar reduction.  ","Plant-based,Cultivated","Contract manufacturing/processing,Ingredients and inputs,Meat","Cell culture media,Cell line development",Ingredients,,,Asia Pacific,Japan,,Japan,https://www.ajinomoto.com.sg/,1902,"Dr. Kikunae Ikeda, Saburosuke Suzuki II",Know_MSG_Logo.jpg (https://v5.airtableusercontent.com/v1/14/14/1674252000000/yzkL_hdDEs9KyMhHQQxlag/NTqAIWuybWk-v4kPjtajQWsL3cZygsfAfQTK9lnAZsHmSw_24lCW17i8WwvfCSw5fywT53DwAm8SzY3GsZj-fMd4PnPK02y-JhXTqKuOmaE/1pZvyZ5WZTB4xII-kVpkBSs4QcAlxQhCka5nLQzZ1OU)
Plant Revolt Ltd.,Europe based company develops and produces plant based meat alternatives,Plant-based,"Meat,Seafood,Ingredients and inputs","End product formulation and manufacturing,Ingredient optimization","Ground meat,Other meat,Seafood,Whole muscle meat","Beef/veal,Chicken,Pork,Fish,Crab,Tuna",Pea,"Europe,Africa/Middle East",Hungary,,Budapest,www.plantrevolt.com,2020,Viktor Buranyi / Imre Kupas,plantrevoltlogo.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/lFZAzjXX7canlgXqhAYczw/K-R8uG1WXHTwMcOSLcZYAdmFyZ1JTdHjjJUv9M9-T6ilskPsw-IgkVPfaWTvs4jt0WdLc9yfnVbT-8vOfApEfmISwkjwz9ffyjzCdE8RUYM/1qyhwk3GFoaRSOaOCZRPTwROY0QNpzwTBsx6vXd2k5Y)
Revyve,"We create ingredients from single-cell proteins through a process that unlocks unique functionalities, like heat-set gelling, emulsification and more. All while keeping the label completely clean.",Biomass fermentation,"Meat,Eggs,Dairy","Ingredient optimization,Feedstocks",Ingredients,"Chicken,Beef/veal","Yeast,Algae,Fungi",Europe,Netherlands,,Wageningen,Revyve.bio,2019,"Edgar Suarez Garcia, Cedric Verstraeten, Corjan van den Berg",0b6cec0d-29f5-4a6d-9cf3-4503a442fdd0.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/EnpP5WbSjWpeDfPkWGca1Q/T4_mRcmWd7YJOXU_pxMYVft9yrFhFYHwIoWWVspxfZoDtC1B3JgFidpsmjxuzN8c0L5rqxk5CtkH5USKVQpIZHfAVybwRNvJk9TUYV3dQYp-Yml3WY-fswfTHn23b4zF/PLFHsxvEUmVasIJGzKRS-fisC_5zdAv_RvPWgt3W7Jo)
Emmay,Vietnam-based company that produces fungi-based meat using mycelium technology,Biomass fermentation,"Meat,Seafood,Ingredients and inputs","End product formulation and manufacturing,Crop development,Ingredient optimization","Whole muscle meat,Ground meat,Other meat,Ingredients,Seafood","Beef/veal,Chicken,Pork,Fish,Other,Tuna","Mushrooms,Mycelium,Mycoprotein,Fungi,Blend",Asia Pacific,Vietnam,,Hanoi,https://emmay.vn/,2017,Van Pham,Logo Emmay.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/-QLluvVOQSDgUDpbUq0u3g/mROZUqkEHaOgQJ46g7RF_VI5Lb3HY029C2A34SOiKd8xeGzkyvDQqEmxjknl_Ffm8KyV6q0jPBIsKycgw5C2AotfpGi9wC4FAQftGi-8jJM/Gu4ik5iAQdHygNItFIxPNpbSDwBRtdx5XzXHnGSEsP4)
New Wave Biotech,"UK-based company developing downstream process optimization software using computational modeling to accelerate R&D, reduce production costs and improve product sustainability.",Precision fermentation,"Bioprocessing infrastructure and equipment,Other",Bioprocess design,Other,,,Europe,United Kingdom,,London,https://www.newwavebiotech.com,2022,"Zoe Yu Tung Law, Oli Hall",New Wave Biotech Logo (2) (1).png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/GScwxkm5DyXvgJSODRLLVQ/Q-n2kyEMD_KE2o0yVjUksHe3aTNYyVdHqug7oDZkdh3iVTh5E1pAx4uqToHdvKW6BfBmlf1Knyc-8odGq_3qNqer0wMgDJTv3Xe4-X0r5iw/2vucpJIdPJuVttR2L7M6Op80iJOnfDj-PVPMcBY0DYo)
Naplasol BV,"Naplasol offers 100% natural, mycoprotein structures. Our sustainable semi-finished products have an excellent, unique structure and unsurpassed nutritional value for your consumer product.
Our production process is based on an ancient tradition that we have optimised down to the last detail. Our state of the art production facility enables us to meet your demands on taste and structure.
Naplasol is a Belgian production plant in Bree that specialises in plant proteins. It is part of the VEOS Group, one of the global leaders in the animal protein market.
",Biomass fermentation,"Meat,Dairy",End product formulation and manufacturing,"Other,Ingredients","Beef/veal,Chicken,Pork,Turkey,Fish",Mycoprotein,Europe,Belgium,,Bree,www.naplasol.com,2019,Wim Slee,Naplasol-logo-CMYK.jpg (https://v5.airtableusercontent.com/v1/14/14/1674252000000/AoEl2DXF-GNKLHiWu8ASgQ/sfSFIyC_1N_l60wkpUIHPKX9Wi7753zHtYzF7RBSQPa5_cfCpzbJLWbGNgU7SmvOCJxB4FGWe2Vx1PBK9osPDdvgKVZbipuiGNzAsmC1qYc/2FE10TTZ46MJMfIy0awxvcr8Bw9r9xDqaGZrxf21sco)
R & S BLUMOS,"Brazilian based foodtech hub creating and supplying animal-free ingredients and solutions to b2b companies since 2008. Four different business units:
1 - Jewery of Ingredients: Distribution of specialties from all over the world to brazilian industries;
2 - Ancient Balance: Creation and Production of special ingredients from ancient and tradicional grains, pulses and beans from south american biodiversity;
3 - Combinativity facility: Combination of special ingredients with creativity in adding value and defenses for b2b customers;
4 - Carnevale: Texturization of vegetable proteins both dry and wet.",Plant-based,"Meat,Eggs,Dairy,Seafood,Ingredients and inputs,Food processing infrastructure and equipment,Contract manufacturing/processing","End product formulation and manufacturing,Ingredient optimization","Whole muscle meat,Ground meat,Other meat,Ingredients","Beef/veal,Chicken,Pork,Mutton/lamb,Fish,Tuna",Pea,Latin America,Brazil,,Cotia,www.rsblumos.com.br,2008,Fernando Santana & Eduardo Perego,
Fudzs,Paris-based cultivated meat producer,Cultivated,Meat,End product formulation and manufacturing,,,,Europe,France,,Paris,https://fudzs.com/  https://www.linkedin.com/company/fudzs/,2022,Zied Souguir,
Fishway BV,Belgian company producing cultivated seafood,Cultivated,Seafood,End product formulation and manufacturing,Seafood,Fish,,Europe,Belgium,,Leuven,https://www.fishway.fish/,2022,Nina Coolsaet,
Havredals,Swedish company producing plant moldable plant-based meats and oat milk,Plant-based,"Meat,Dairy",End product formulation and manufacturing,"Ground meat,Milk","Chicken,Beef/veal","Blend,Oat",Europe,Sweden,,Uppsala,https://www.havredals.se/en/,2020,Jens Johnsson,
Opo Bio,B2B cell line supplier for cultivating meat at scale from New Zealand livestock. ,Cultivated,"Ingredients and inputs,Meat","Cell line development,Cell culture media",Ingredients,,,Australia/New Zealand,New Zealand,,Auckland,www.opobio.com,2022,"Olivia Ogilvie, Laura Domigan and Vaughan Feisst",Opo Bio Full Colour.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/JBZh_oMwQQOFqb4HSsCaKg/OoaCVI4LzNOMgswZpompqEcVBLY53lQMCxhnM8qb9aRRB0L43a96QbIHEINd7i2hl7Z7RsmRFtRtbQVZVstRkW6vgoklgDqDFTq86riJ6B0/DGvF8Y3nXTR6P9LOKjyycKPKpGgdU2MfL13LmWfdnpA)
Metameat,"China-based company focus on independent research and development, production and sales of plant protein artificial meat and related products.",Plant-based,Meat,End product formulation and manufacturing,"Ground meat,Other meat","Beef/veal,Pork,Chicken,Other",,Asia Pacific,China,,Zibo,http://www.meta-meat.net/,2020,Linlin Bi,
OTRO,Belgium-based company that produces egg white protein with precision fermentation.,Precision fermentation,Eggs,"Bioprocess design,Host strain development,Ingredient optimization,End product formulation and manufacturing,Target molecule selection,Feedstocks","Eggs,Ingredients",Chicken,Egg,"U.S. and Canada,Europe,Asia Pacific,Africa/Middle East,Australia/New Zealand,Latin America",Belgium,,Brussels,https://www.otrofoods.com/,2022,Aymen Derwiche,OTRO post linkedin.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/jCI_eu73gJBzI6wat6E7rg/fJhVwPHoVz1Uc75885BEwhxhpcqPrJMOcRPQRM_XBB2PIF1FW-T35cWxmom4a1L08_nVKcDbW7jWbdG0lIPuFiGmBXwZvyrzGDg2zpEAd44/iwEh6JbZli33mJvwQfcffI6HuKVKy7pTbo-oGodz1fw)
Alt Co. (The Alt Company),India-based producer of oat milk and vegan chocolate. ,Plant-based,Dairy,End product formulation and manufacturing,Milk,,Oat,Asia Pacific,India ,,Bangalore,https://alt.company/,2020,Rithwik Ramesh,
Brown Foods,"India-based producer of cow-free cow milk under the brand name ""UnReal Milk.""",Cultivated,Dairy,End product formulation and manufacturing,Milk,,,Asia Pacific,India ,,Chandigarh,https://unrealmilk.com/,2021,"Sohail Gupta, Bhavna Tandon",
Sudo Foods,India-based vegetarian meat producer. ,Plant-based,Meat,End product formulation and manufacturing,Ground meat,"Chicken,Other","Soy,Jackfruit,Beetroot ,Wheat",Asia Pacific,India ,,Bangalore,https://sudofoods.com/,2021,"Sadhika Agarwal, Abhinav Chawla",
Nurasa,"Singapore-based government-backed organization to support foodtech companies through providing investments, lab facilities (Food Tech Innovation Centre), and market facilities. ","Plant-based,Fermentation-derived","Other,Food processing infrastructure and equipment",,Other,,,Asia Pacific,Singapore,,Singapore,https://nurasa.com/,2021,,
EnzymoFit Ltd. ,Isreal-based company develping enzyme-based production process for the plant-based protein market. ,Plant-based,Other,Bioprocess design,Other,,,Africa/Middle East,Israel,,Shefa-'Amr,https://www.featlp.com/enzymofit,2022,,
1Ness Foods Pvt. Ltd. ,India-based producer of plant-based dairy alternatives. ,Plant-based,Dairy,End product formulation and manufacturing,"Milk,Cheese,Other",,"Cashew,Almond,Pea",Asia Pacific,India ,,Mumbai,https://1ness.in/,2019,Kajal Joshi,
Eat with Better (Chateau Vert Pvt. Ltd.),"India-based producer of jackfruit products, including a nugget. ",Plant-based,"Meat,Other",End product formulation and manufacturing,"Ground meat,Other",Chicken,Jackfruit,Asia Pacific,India ,,Mumbai,https://eatwithbetter.com/,2019,"Keertida Phadke, Karan Bajaj",
Big Sam's,India-based food wholesaler (primarily seafood) that also sells several vegetarian and meat-free products. ,Plant-based,Meat,,Ground meat,"Chicken,Beef/veal","Pea,Soy",Asia Pacific,India ,,Mumbai,https://www.bigsams.in/,2012,Lavin Samtani,
Borges International Group,"India-based provider of Mediterranean foods, such as olive oil and pasta, that also carries nut milks.  ",Plant-based,Dairy,End product formulation and manufacturing,Milk,,"Almond,Hazelnut,Other",Europe,Spain,,Reus,https://borges1896.com/in-en/products/,1896,"Antonio Pont, Dolores Creus",
Dancing Cow,India-based producer of plant-based dairy products. ,Plant-based,Dairy,End product formulation and manufacturing,Milk,,Oat,Asia Pacific,India ,,Pan,https://dancingcow.in/about,2022,"AAROHI SURYA, KAMLESH RATHORE",
Funny Nani (Nayamylk Products Pvt Ltd),India-based producer of plant-based paneer made from watermelon seeds. ,Plant-based,Dairy,End product formulation and manufacturing,Cheese,,Other,Asia Pacific,India ,,Mumbai,https://www.funnynani.com/,2020,Yash Khandelwal,
Grabenord,India-based producer of several vegan products including a few cheese and butter items. ,Plant-based,Dairy,End product formulation and manufacturing,"Cheese,Other dairy",,Cashew,Asia Pacific,India ,,Ahmedabad,https://grabenord.com/,2020,"Shalin Talajia, Nirav Mevada, Viraj Bhatt",
Hershey's,"US-based global chocolate company, also makes a line of plant-based milks under the brand ""SOFIT.""",Plant-based,Dairy,End product formulation and manufacturing,Milk,,"Almond,Soy",U.S. and Canada,United States,Pennsylvania,Hershey,https://www.hersheyland.in/sofit,1894,,
Imposter Meat,India-based producer of plant-based meat alternatives. ,Plant-based,Meat,End product formulation and manufacturing,"Ground meat,Other meat","Beef/veal,Pork",Other,Asia Pacific,India ,,Bangalore,https://impostermeat.com/,2021,,
Live Yum,India-based producer of vegan and allergen-free cheeses. ,Plant-based,Dairy,End product formulation and manufacturing,Cheese,,,Asia Pacific,India ,,Bangalore,https://veganmall.in/store/liveyumfoods/about/,2019,Taanya Ravi ,
Mighty Foods (Freshezy Foodtech Pvt Ltd),India-based producer of ready-to-eat plant-based meat and seafood alternatives. ,Plant-based,"Meat,Seafood",End product formulation and manufacturing,"Ground meat,Seafood","Shellfish,Fish,Beef/veal","Soy,Konjac",Asia Pacific,India ,,Mumbai,https://themightyfood.com/,2021,Dibyendu Bindal ,
MilkinOats (Snoozing Cattle Pvt. Ltd.),India-based producer of oat milk. ,Plant-based,Dairy,End product formulation and manufacturing,Milk,,Oat,Asia Pacific,India ,,Delhi,https://milkinoats.com,2020,Ashna Goel,
Mooft (Kindible Foods Pvt. Ltd.),Indian company producing plant-based milk. ,Plant-based,Dairy,End product formulation and manufacturing,Milk,,Coconut,Asia Pacific,India ,,Delhi,https://mooft.in/,2021,Divit and Prakhar,
Nanak ,"Canada-based company with  the largest federally approved Indian dairy in North America that specialises in Indian dairy & food products, but also has a few plant-based meat alternatives. ",Plant-based,Meat,End product formulation and manufacturing,Ground meat,,,U.S. and Canada,Canada,,Surrey,https://nanakfoods.com/,1998,"Gurpreet Arneja, Vineet Taneja",
OatMlk (WG Corp),India-based oatmilk company. ,Plant-based,Dairy,End product formulation and manufacturing,Milk,,Oat,Asia Pacific,India ,,Kanpur,https://www.oatmlk.in/,2020,"Akash Wadhwani, Rishabh Gupta",
Off Meat,"India-based producer of plant-based meat alternatives, including nuggets, kebabs, and burger patties. ",Plant-based,Meat,End product formulation and manufacturing,Ground meat,"Beef/veal,Chicken","Pea,Soy,Wheat,Barley,Other,Seeds",Asia Pacific,India ,,Agra,https://offmeat.in/,2021,Mehul Gupta,
Hegg Foods,"Singapore-headquartered company that produces tasty, healthier, and more sustainable plant-based egg products.",Plant-based,Eggs,"End product formulation and manufacturing,Ingredient optimization",Ingredients,Other,Canola,Asia Pacific,Singapore,,Singapore,https://eathegg.com,2021,Yau Png Ow,HEGG_LOGO_NEW_RGB.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/j92CU170auMNMt85NDvrqA/JAaJkfn37qLDph8D3ECEFiwkvYHFizCR9QIaehuu8L7X3ZiKQ27LJoU-EXaQXhz4Yb43ewEEUVXJcIvqOQBuMkHxTHdH6-RJQLvirA4rtCI/QBhH-T5ysYnLmA8TYcKWCexqdCxYAxTayGW40JliPC4)
Only Earth ,Singapore-based producer of plant-based milks.,Plant-based,Dairy,End product formulation and manufacturing,Milk,,"Almond,Oat,Coconut",Asia Pacific,Singapore,,Sinapore,https://myonlyearth.com,2021,Kunal Mutha,
PFC Foods,India-based producer of plant-based meat alternatives. ,Plant-based,Meat,End product formulation and manufacturing,Ground meat,Chicken,"Soy,Oat",Asia Pacific,India ,,"Vadodra, Gujarat",https://pfcfoods.in/,2022,,
Strive (PlantByte Foods and Nutrition Private Limited),"India-based producer of vegan protein drinks, powders, and cookies. ",Plant-based,Other,End product formulation and manufacturing,Other,,"Pea,Rice,Wheat",,India ,,Bangalore,https://www.strive.store/,2019,Arthi Deiva,
Progo Foods (Progo Foods Private Limited),India-based producer of plant-based yogurts. ,Plant-based,Dairy,End product formulation and manufacturing,Other dairy,,Coconut,Asia Pacific,India ,,Bangalore,https://www.progofoods.com/,2021,Yashvanthraa (Yashu) Mohanraj,
RAW Pressery,"Indian producer of a variety of beverages, including an almond milk. ",Plant-based,Dairy,End product formulation and manufacturing,Milk,,Almond,Asia Pacific,India ,,Mumbai,https://www.rawpressery.com/,2014,,
